C:\Users\Fresh\Tablacus	1751578476403
C:\Users\Fresh\Downloads	1751578474283
C:\Users\Fresh\AppData\Local\Temp	1751578470033
17	1751578467799
::{088E3905-0323-4B02-9826-5D99428E115F}\Tablacus	1751578456337
::{088E3905-0323-4B02-9826-5D99428E115F}\TablacusExplorerAddons-master	1751578340274
C:\Users\Fresh\Downloads\TablacusExplorer-master.zip\TablacusExplorer-master	1751575670513
C:\Users\Fresh\Downloads\TablacusExplorer-master.zip	1751575665334
C:\	1751574938175
C:\Windows\SoftwareDistribution\DataStore	1751554038271
::{59031A47-3F72-44A7-89C5-5595FE6B30EE}\{0DDD015D-B06C-45D5-8C4C-F59713854639}	1751554030316
::{59031A47-3F72-44A7-89C5-5595FE6B30EE}\Tablacus\addons	1751553958255
C:\Users\Fresh\Tablacus\addons\Tablacus\te241011\addons	1751552944073
C:\Users\Fresh\Tablacus\addons\Tablacus\te241011	1751552942173
C:\Users\Fresh\Tablacus\addons\Tablacus	1751552937414
C:\Users\Fresh\Tablacus\addons	1751552934677
C:\Users\Fresh\Tablacus\addons\Tablacus\te241011\addons\2025-03-02	1751552920732
search-ms:crumb=jude&crumb=location:C:%5CUsers%5CFresh%5CTablacus	1751552890256
::{59031A47-3F72-44A7-89C5-5595FE6B30EE}\Tablacus	1751552886979
::{59031A47-3F72-44A7-89C5-5595FE6B30EE}\Tablacus\backup	1751552875536
::{59031A47-3F72-44A7-89C5-5595FE6B30EE}\Tablacus\script	1751552864296
::{59031A47-3F72-44A7-89C5-5595FE6B30EE}	1751552825010
E:\	1751552738300
C:\Users\Eino\AppData\Local\Programs	1751552308358
C:\Users\Fresh\AppData	1751552302175
C:\Users\Eino\AppData	1751552180278
C:\Users\Eino\Downloads	1751552151709
::{20D04FE0-3AEA-1069-A2D8-08002B30309D}\::{088E3905-0323-4B02-9826-5D99428E115F}	1751536463969
C:\Program Files	1751536433503
es:hello	1751536372568
search-ms:crumb=.pdf&crumb=location:C:%5CUsers%5CEino%5CDownloads	1751536170309
